Disease,Symptom1,Symptom2,Symptom3,Symptom4
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,jointpain,neckpain,kneepain,hipjointpain
Osteoarthristis,neckpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,neckpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,neckpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,neckpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,neckpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,neckpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,kneepain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,neckpain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,neckpain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,neckpain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,neckpain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,neckpain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,neckpain,hipjointpain,swellingjoints
Osteoarthristis,jointpain,neckpain,kneepain,swellingjoints
Osteoarthristis,jointpain,neckpain,kneepain,swellingjoints
Osteoarthristis,jointpain,neckpain,kneepain,swellingjoints
Osteoarthristis,jointpain,neckpain,kneepain,swellingjoints
Osteoarthristis,jointpain,neckpain,kneepain,swellingjoints
Osteoarthristis,jointpain,neckpain,kneepain,swellingjoints
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,muscleweakness,stiffneck,swellingjoints,movementstiffness
Arthritis,stiffneck,swellingjoints,movementstiffness,painfulwalking
Arthritis,stiffneck,swellingjoints,movementstiffness,painfulwalking
Arthritis,stiffneck,swellingjoints,movementstiffness,painfulwalking
Arthritis,stiffneck,swellingjoints,movementstiffness,painfulwalking
Arthritis,stiffneck,swellingjoints,movementstiffness,painfulwalking
Arthritis,stiffneck,swellingjoints,movementstiffness,painfulwalking
Arthritis,muscleweakness,swellingjoints,movementstiffness,painfulwalking
Arthritis,muscleweakness,swellingjoints,movementstiffness,painfulwalking
Arthritis,muscleweakness,swellingjoints,movementstiffness,painfulwalking
Arthritis,muscleweakness,swellingjoints,movementstiffness,painfulwalking
Arthritis,muscleweakness,swellingjoints,movementstiffness,painfulwalking
Arthritis,muscleweakness,swellingjoints,movementstiffness,painfulwalking
Arthritis,muscleweakness,stiffneck,movementstiffness,painfulwalking
Arthritis,muscleweakness,stiffneck,movementstiffness,painfulwalking
Arthritis,muscleweakness,stiffneck,movementstiffness,painfulwalking
Arthritis,muscleweakness,stiffneck,movementstiffness,painfulwalking
Arthritis,muscleweakness,stiffneck,movementstiffness,painfulwalking
Arthritis,muscleweakness,stiffneck,movementstiffness,painfulwalking
Arthritis,muscleweakness,stiffneck,swellingjoints,painfulwalking
Arthritis,muscleweakness,stiffneck,swellingjoints,painfulwalking
Arthritis,muscleweakness,stiffneck,swellingjoints,painfulwalking
Arthritis,muscleweakness,stiffneck,swellingjoints,painfulwalking
Arthritis,muscleweakness,stiffneck,swellingjoints,painfulwalking
Arthritis,muscleweakness,stiffneck,swellingjoints,painfulwalking
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinningmovements
